price,parking,bathrooms,bedrooms,suburb,propertyType
1090000.0,3,2,4,Griffith,house
558000.0,2,2,4,Farrer,house
700000.0,2,1,3,Aranda,house
1300000.0,2,1,4,O'Connor,house
320000.0,1,1,3,Theodore,house
675000.0,1,1,3,Narrabundah,house
450000.0,2,2,4,Gungahlin,house
415000.0,1,2,3,Kaleen,house
480000.0,2,1,4,Conder,house
553000.0,2,2,4,Torrens,house
885000.0,2,2,4,Pearce,house
350000.0,1,1,3,Wanniassa,house
320000.0,0,1,3,Banks,house
370000.0,2,2,4,Flynn,house
564000.0,1,2,3,Curtin,house
50000.0,2,1,3,Bonython,house
365000.0,0,1,3,Theodore,house
390000.0,1,2,3,Weston,house
927000.0,2,2,4,Yarralumla,house
360000.0,2,1,3,Evatt,house
390000.0,2,2,4,Dunlop,house
440000.0,2,2,4,Flynn,house
350000.0,1,2,2,Latham,house
430000.0,4,2,3,Waramanga,house
595000.0,2,2,3,Ainslie,house
550000.0,0,2,3,Ainslie,house
350000.0,1,2,3,Conder,house
365000.0,3,1,3,Evatt,house
585000.0,2,2,3,Waramanga,house
602500.0,2,1,4,Dickson,house
359000.0,2,1,3,Gordon,house
475000.0,2,2,3,Kambah,house
315000.0,2,2,3,Higgins,house
320000.0,2,1,4,Spence,house
325000.0,2,4,4,Melba,house
341000.0,2,1,3,Florey,house
540000.0,2,3,4,Evatt,house
395000.0,1,1,4,Latham,house
350000.0,2,2,3,MacGregor,house
370000.0,1,1,3,Giralang,house
620000.0,2,1,4,Watson,house
631000.0,2,2,4,Banks,house
450000.0,1,2,3,Watson,house
405000.0,3,1,4,Spence,house
675000.0,2,2,4,Forde,house
548000.0,1,2,3,Curtin,house
405000.0,6,1,4,Higgins,house
420000.0,2,2,3,Rivett,house
531500.0,1,2,4,Weston,house
350000.0,1,1,3,Gordon,house
350000.0,0,2,2,Weston,house
450000.0,2,2,4,Nicholls,house
50000.0,2,2,3,Isabella Plains,house
875000.0,3,3,6,Nicholls,house
365000.0,2,1,3,Gordon,house
375000.0,1,1,3,Chisholm,house
402000.0,1,1,3,Fisher,house
420000.0,2,2,3,Kambah,house
550000.0,2,2,2,Palmerston,house
585000.0,2,2,4,Nicholls,house
350000.0,2,1,3,Banks,house
675000.0,5,3,5,Theodore,house
279500.0,1,1,2,Latham,house
675000.0,2,2,4,Nicholls,house
550000.0,2,2,4,Calwell,house
330000.0,2,2,3,Dunlop,house
360000.0,2,1,3,Evatt,house
370000.0,2,1,3,Theodore,house
450000.0,2,2,4,Kambah,house
450000.0,1,2,4,MacGregor,house
405000.0,2,2,3,Weston,house
395000.0,2,2,3,Palmerston,house
490000.0,0,2,4,Bruce,house
530000.0,2,2,5,Bonython,house
680000.0,2,2,4,Pearce,house
350000.0,2,2,3,Conder,house
450000.0,1,2,4,Curtin,house
495000.0,1,2,4,Curtin,house
805000.0,2,2,4,Bruce,house
630000.0,2,2,4,Farrer,house
875000.0,1,1,4,Griffith,house
550000.0,2,2,4,Fisher,house
400000.0,2,2,3,Nicholls,house
50000.0,3,2,3,Bonython,house
350000.0,2,2,3,Holt,house
50000.0,2,2,3,Conder,house
345000.0,1,1,3,Scullin,house
440000.0,2,2,3,Ngunnawal,house
510000.0,2,2,4,Chapman,house
50000.0,1,2,4,Gordon,house
310000.0,2,1,3,Theodore,house
330000.0,2,2,3,Palmerston,house
337500.0,1,1,3,Nicholls,house
370000.0,1,1,4,Conder,house
395000.0,1,1,3,Lyneham,house
465000.0,2,2,4,Harrison,house
342000.0,2,1,3,Gilmore,house
350000.0,1,1,3,Ngunnawal,house
675000.0,2,2,4,Hughes,house
875000.0,2,2,3,Deakin,house
50000.0,2,2,4,Conder,house
350000.0,1,1,3,Dunlop,house
300000.0,1,2,3,Ngunnawal,house
380000.0,2,1,3,Oxley,house
675000.0,2,1,4,Gungahlin,house
345000.0,2,2,3,Conder,house
370000.0,2,2,4,Charnwood,house
495000.0,2,1,4,Conder,house
541000.0,2,2,4,Forde,house
955000.0,2,2,6,Red Hill,house
1380000.0,4,3,5,Deakin,house
372000.0,2,2,3,Holt,house
415000.0,1,1,3,Giralang,house
350000.0,1,1,3,Gordon,house
350000.0,0,2,3,Holt,house
50000.0,2,1,3,Wanniassa,house
450000.0,1,2,3,Weston,house
335000.0,1,1,3,Ngunnawal,house
1150000.0,2,2,5,Nicholls,house
320000.0,1,1,2,Palmerston,house
387000.0,2,2,3,Dunlop,house
395000.0,2,2,3,Amaroo,house
400000.0,1,2,4,Isabella Plains,house
426000.0,1,1,3,Kaleen,house
552000.0,2,2,4,Forde,house
50000.0,1,2,3,Kambah,house
675000.0,2,1,4,Cook,house
450000.0,1,2,3,Farrer,house
349000.0,2,1,3,Holt,house
360500.0,2,1,3,Bonython,house
740000.0,0,3,3,Deakin,house
371600.0,2,2,4,Holt,house
380000.0,1,2,3,Farrer,house
450000.0,2,2,3,McKellar,house
350000.0,2,1,3,Holt,house
50000.0,1,1,3,Isabella Plains,house
350000.0,2,1,3,Higgins,house
50000.0,2,3,4,Hawker,house
350000.0,1,1,3,Scullin,house
427000.0,2,2,4,Evatt,house
477000.0,0,2,4,Palmerston,house
479000.0,1,1,3,Kaleen,house
50000.0,2,3,5,Forrest,house
50000.0,2,1,5,Florey,house
321000.0,1,1,2,Calwell,house
405000.0,2,2,3,Evatt,house
357000.0,1,1,3,Scullin,house
360000.0,2,1,4,Latham,house
365000.0,2,1,3,Belconnen,house
585000.0,2,1,4,Kaleen,house
2000000.0,2,2,4,Deakin,house
350000.0,1,2,3,MacGregor,house
343000.0,2,1,3,Higgins,house
410000.0,2,4,3,Amaroo,house
420000.0,2,2,4,Wanniassa,house
420000.0,1,2,3,Page,house
720000.0,2,3,3,Yarralumla,house
720000.0,3,3,5,Hawker,house
320000.0,1,2,3,Ngunnawal,house
474000.0,2,2,4,Kambah,house
860000.0,2,2,3,Pearce,house
350000.0,4,1,3,Higgins,house
550000.0,2,2,4,Pearce,house
460000.0,2,1,3,Ngunnawal,house
592000.0,1,1,2,Ainslie,house
695000.0,2,2,5,Nicholls,house
550000.0,1,1,3,O'Connor,house
346000.0,2,1,3,Giralang,house
450000.0,2,2,4,Franklin,house
550000.0,2,2,4,Fisher,house
675000.0,2,2,4,Isaacs,house
349950.0,3,2,3,MacGregor,house
355000.0,1,1,3,Gordon,house
362000.0,2,2,3,Ngunnawal,house
373000.0,2,1,3,Gilmore,house
399000.0,1,2,4,Holder,house
422250.0,6,2,3,Gilmore,house
445000.0,2,2,3,Rivett,house
475000.0,2,1,4,Melba,house
485000.0,2,1,5,Wanniassa,house
560500.0,2,2,4,Curtin,house
590000.0,2,3,4,Gordon,house
595000.0,4,2,4,Dunlop,house
650000.0,1,2,3,Garran,house
660000.0,2,2,4,Stirling,house
675000.0,2,2,4,Gilmore,house
685000.0,2,3,4,Weston,house
690000.0,2,2,4,Deakin,house
975000.0,2,1,3,Narrabundah,house
372000.0,2,1,3,Conder,house
50000.0,2,2,3,Forrest,house
355000.0,1,1,3,Palmerston,house
437000.0,2,2,3,Chifley,house
350000.0,2,1,3,Charnwood,house
386000.0,2,2,3,Dunlop,house
411000.0,2,1,3,Mawson,house
450000.0,1,1,4,Wanniassa,house
525000.0,0,1,2,Ainslie,house
660000.0,2,2,3,Pearce,house
2000000.0,1,2,3,Duffy,house
312000.0,1,1,3,Ngunnawal,house
510000.0,0,3,4,Evatt,house
